method,heldout_run,real_label_ap,real_label_auc,pileup_miss_rate,false_split_rate,accepted_secondary_fraction,timing_tail_rate_abs_gt_15ns,energy_bias_median,energy_bias_sigma68,stave_pid_proxy_drift_span,reviewer_disagreement_rate
1d_cnn,42,0.4245483073807882,0.8386524822695035,1.0,0.0,0.0,,7.0691101882145,12.80330999626034,0.0,0.1694915254237288
1d_cnn,44,0.5157509075248116,0.16666666666666666,1.0,0.0,0.0,,0.3580929913858729,0.32515030989821986,0.0,0.9629629629629629
1d_cnn,45,0.27455315006084047,0.42893320671098445,1.0,0.012345679012345678,0.008333333333333333,0.0,0.2804922662246119,0.3784541631619369,0.0,0.45
1d_cnn,48,0.271165033285521,0.2729555236728838,1.0,0.058823529411764705,0.03669724770642202,0.0,0.2971000285231644,0.33528697939440455,0.0,0.5321100917431193
1d_cnn,49,0.27973546720785786,0.3190045248868778,1.0,0.014705882352941176,0.009345794392523364,0.0,0.2503264982844252,0.4606913345550015,0.0,0.5607476635514018
1d_cnn,56,0.22211739910647008,0.3330246913580247,1.0,0.0,0.0,,0.2645941119135133,0.432756351794897,0.0,0.42857142857142855
1d_cnn,57,0.3302729818192398,0.5250513671566304,0.9824561403508771,0.009009009009009009,0.011904761904761904,0.0,0.4625181019876403,4.122842289612942,0.01639344262295082,0.4642857142857143
1d_cnn,64,0.4448510190597835,0.7716666666666666,1.0,0.0,0.0,,5.434582682398444,9.41016838162219,0.0,0.16129032258064516
1d_cnn,65,0.5723754187486273,0.8072009291521487,1.0,0.0,0.0,,5.089679297631468,12.020915860301914,0.0,0.1774193548387097
gradient_boosted_trees,42,0.14039575577550606,0.20567375886524825,1.0,0.0,0.0,,0.045609483189874414,0.1262805657215163,0.0,0.1694915254237288
gradient_boosted_trees,44,0.5236601823458511,0.17901234567901236,1.0,0.0,0.0,,-0.12257041658082261,0.028565024009947065,0.0,0.9629629629629629
gradient_boosted_trees,45,0.41438885499472156,0.6058879392212725,1.0,0.037037037037037035,0.025,0.6666666666666666,-0.11033146951424114,0.04004931500715622,0.0,0.45
