method,stratum,value,n_events,n_valid,energy_bias,energy_sigma68,saturated_energy_sigma68,saturation_knee_accuracy,saturation_knee_calibration_abs,pedestal_high_minus_low_bias,pid_auc,pid_calibration_ece,timing_residual_bias_ns,timing_residual_sigma68_ns,pileup_merge_rate,false_split_rate,coverage90,coverage90_abs_error
1d_cnn,pedestal_state,nominal,308.0,142.0,-0.005808035329550891,0.07744305483123937,0.012157256534145969,1.0,0.0,,0.9950331125827815,0.44143624864002434,1.7640369780062848,8.762731606907584,0.3333333333333333,0.25806451612903225,0.9929577464788732,0.09295774647887323
1d_cnn,pedestal_state,shifted,552.0,275.0,0.026746542277479267,0.1265214478131386,0.07943636124965439,0.9909420289855072,0.0018115942028985518,,0.9870140544094683,0.47758963202070026,-3.270183942693876,10.332789014075635,0.3104693140794224,0.3054545454545455,0.8581818181818182,0.041818181818181865
1d_cnn,pileup_bin,clean,430.0,124.0,0.07102191223154522,0.15198928662797515,,1.0,0.0,0.09842821492438747,0.9871495327102804,0.4153627253957353,-5.997813343753271,8.736852558807746,,0.28837209302325584,0.7903225806451613,0.10967741935483877
1d_cnn,pileup_bin,pileup,430.0,293.0,0.002509800564624329,0.09079307376697202,0.07896303907789723,0.9883720930232558,0.002325581395348837,0.019436066913636064,0.9854792758018565,0.513920626828809,1.7134044680732963,9.96111343625999,0.3186046511627907,,0.9522184300341296,0.052218430034129626
1d_cnn,clip_bin,hard_clip,2.0,2.0,-0.18131941739706647,0.012238641245329626,0.012238641245329626,1.0,0.0,-0.03599600366273417,,0.035380093446210514,-11.874636222815846,0.18682173368192778,0.0,,1.0,0.09999999999999998
1d_cnn,clip_bin,mild_clip,7.0,7.0,-0.04672171348760199,0.06505122660662925,0.06505122660662925,0.8571428571428571,0.1428571428571429,0.08336504413892645,0.30000000000000004,0.25008910122212447,-11.99814223171681,4.670270897016582,0.0,,1.0,0.09999999999999998
1d_cnn,clip_bin,unclipped,851.0,408.0,0.011582398184127103,0.10882734786609799,0.07602756822979044,0.9952996474735605,0.0,0.03662304988284558,0.989362868735607,0.46758164269669983,-0.9350815944233659,10.109597492903738,0.3254156769596199,0.28837209302325584,0.9019607843137255,0.0019607843137254832
1d_cnn,morphology_state,late_tail_high,436.0,150.0,0.008648775993521766,0.08537975047169356,0.04380476616397883,0.9977064220183486,0.0022935779816513763,0.00223742050211379,0.990070093457944,0.45025715803611166,-3.086764445130279,8.999376523235068,0.42245989304812837,0.1686746987951807,0.9733333333333334,0.07333333333333336
1d_cnn,morphology_state,late_tail_low,424.0,267.0,0.01206774706872744,0.12919516265916164,0.07805163729128978,0.9905660377358491,0.0,0.058840379175411114,0.989010989010989,0.4794333031905881,-0.40384787250232534,10.864519275821797,0.23868312757201646,0.4530386740331492,0.8651685393258427,0.03483146067415732
1d_cnn,stave,B2,215.0,81.0,-0.005286940899978327,0.1716460383308979,0.07732262040361333,0.986046511627907,0.013953488372093023,0.09531189708465876,0.9833087874324988,0.4855213967651449,-6.487238459503022,11.087402146924335,0.4563106796116505,0.22321428571428573,0.8395061728395061,0.060493827160493896
