method,stratum,level,n,bias_ns,sigma68_ns,rms_ns,tail_fraction_abs_gt_5ns,tail_fraction_abs_gt_10ns
1d_cnn,energy_bin,q1_low,1416,-0.7232274247871571,7.259377226855913,11.71635866131056,0.461864406779661,0.1864406779661017
gradient_boosted_trees,energy_bin,q1_low,1416,-0.38197377435585433,4.17080612863102,5.559968820509025,0.2288135593220339,0.057203389830508475
lightweight_transformer,energy_bin,q1_low,1416,1.1439834770749187,6.278488210717676,7.4590294137605655,0.4449152542372881,0.13347457627118645
mlp,energy_bin,q1_low,1416,-0.41992268698643787,4.405501013755968,5.776132854062693,0.2549435028248588,0.0614406779661017
ridge,energy_bin,q1_low,1416,0.5357657397123212,4.322282477332804,5.855734196006199,0.2704802259887006,0.06567796610169492
spectrogram_patch_transformer_new,energy_bin,q1_low,1416,-1.987840350877418,6.820383912897878,10.297758056646426,0.510593220338983,0.21822033898305085
traditional_fft_template_cfd_timewalk,energy_bin,q1_low,1416,0.048027733049777144,1.0558238581114663,1.086285096506952,0.0,0.0
1d_cnn,energy_bin,q2,1507,-0.5246449165245473,5.177764188657065,7.139590830170336,0.3357664233576642,0.0902455209024552
gradient_boosted_trees,energy_bin,q2,1507,-0.178481114476142,4.042624485845713,6.1540041218208765,0.21897810218978103,0.06436629064366291
lightweight_transformer,energy_bin,q2,1507,3.257346531443865,5.559341087261104,7.803271001635854,0.49502322495023227,0.1420039814200398
mlp,energy_bin,q2,1507,-0.5920735659271781,4.670173357217067,6.069182903583314,0.2773722627737226,0.0776376907763769
ridge,energy_bin,q2,1507,0.22748991001837737,4.254182682727032,5.923406463121551,0.252156602521566,0.0743198407431984
spectrogram_patch_transformer_new,energy_bin,q2,1507,-1.01131512822667,5.145907270066174,7.213850112328929,0.34439283344392835,0.09223623092236231
traditional_fft_template_cfd_timewalk,energy_bin,q2,1507,0.4902616446840913,0.8789858479673072,0.8594056091165112,0.0,0.0
1d_cnn,energy_bin,q3,1441,1.5779019565018189,4.919901915570033,6.422543275743874,0.30811936155447606,0.09923664122137404
gradient_boosted_trees,energy_bin,q3,1441,-0.2142583411018113,3.9106862725577756,5.254612954296689,0.2109646079111728,0.049271339347675226
lightweight_transformer,energy_bin,q3,1441,3.0040807541111008,6.408101077359877,7.561559811631892,0.5093684941013186,0.18806384455239417
mlp,energy_bin,q3,1441,0.0036713008875608466,4.468281033933833,5.618159633096267,0.25190839694656486,0.07217210270645386
ridge,energy_bin,q3,1441,-0.1565748076498048,4.486905848702914,5.614839038484456,0.2609299097848716,0.061068702290076333
spectrogram_patch_transformer_new,energy_bin,q3,1441,1.5601332203313678,4.979979791818043,6.694683408953235,0.32685634975711314,0.10687022900763359
traditional_fft_template_cfd_timewalk,energy_bin,q3,1441,0.6007664703507487,0.9851872518323332,0.9243720501547935,0.0,0.0
1d_cnn,energy_bin,q4_high,1102,-2.501773309901134,6.247846152441404,7.571268830519254,0.45462794918330307,0.1515426497277677
gradient_boosted_trees,energy_bin,q4_high,1102,-0.4603337477001661,3.8791256041366156,5.157010779658265,0.2395644283121597,0.04083484573502722
lightweight_transformer,energy_bin,q4_high,1102,-2.8878825293614403,5.797636613665906,7.321416689116167,0.42558983666061706,0.14609800362976408
mlp,energy_bin,q4_high,1102,-0.5820510571160022,4.094842430055673,5.339437746710844,0.24319419237749546,0.050816696914700546
ridge,energy_bin,q4_high,1102,-1.0081629484753352,4.281320996180234,5.54882211106193,0.23502722323049002,0.045372050816696916
spectrogram_patch_transformer_new,energy_bin,q4_high,1102,-1.7641214667242808,6.699064988928596,7.674447915332407,0.4691470054446461,0.15335753176043557
traditional_fft_template_cfd_timewalk,energy_bin,q4_high,1102,0.38778805549667106,1.031384395249411,0.9603178787550026,0.0,0.0
1d_cnn,pedestal_drift_bin,high,1704,0.742350230230282,7.163448024575724,11.099837958609708,0.47007042253521125,0.18368544600938966
gradient_boosted_trees,pedestal_drift_bin,high,1704,-0.043360342861918255,4.456114960764292,6.001631973029768,0.25704225352112675,0.05927230046948357
lightweight_transformer,pedestal_drift_bin,high,1704,-0.6924730688678356,7.514169485096847,8.69349291034757,0.5346244131455399,0.18838028169014084
mlp,pedestal_drift_bin,high,1704,-0.0345920637424193,4.670109075574411,6.0759254123769235,0.27699530516431925,0.0715962441314554
ridge,pedestal_drift_bin,high,1704,0.24812960070518564,4.538703526579539,6.142753167161588,0.2822769953051643,0.07276995305164319
spectrogram_patch_transformer_new,pedestal_drift_bin,high,1704,0.08234601709200984,7.85067257633836,10.17120309076594,0.4982394366197183,0.2153755868544601
traditional_fft_template_cfd_timewalk,pedestal_drift_bin,high,1704,0.3669914031384316,1.0452618280148416,1.0444264169533695,0.0,0.0
1d_cnn,pedestal_drift_bin,low,1770,-0.8471136234733154,5.185981357780024,7.103419384752169,0.3446327683615819,0.10056497175141244
gradient_boosted_trees,pedestal_drift_bin,low,1770,-0.5996391803621273,3.817132809195787,5.516791002510612,0.20734463276836157,0.05310734463276836
lightweight_transformer,pedestal_drift_bin,low,1770,1.8723999753179426,5.678504944964682,7.263034205385385,0.4242937853107345,0.1401129943502825
mlp,pedestal_drift_bin,low,1770,-0.633717069682689,4.059127334009704,5.573143074467697,0.23672316384180792,0.0655367231638418
ridge,pedestal_drift_bin,low,1770,-0.17543749465482916,4.190747461442071,5.694961701862429,0.2457627118644068,0.061016949152542375
spectrogram_patch_transformer_new,pedestal_drift_bin,low,1770,-1.0035365420564286,5.508824343766859,7.096121158956401,0.3757062146892655,0.10225988700564972
traditional_fft_template_cfd_timewalk,pedestal_drift_bin,low,1770,0.3877565452811358,0.9905717261594957,0.9754344652592304,0.0,0.0
1d_cnn,pedestal_drift_bin,mid,1992,-0.8133801059597321,5.2681824596409035,7.140808053721242,0.34839357429718876,0.10993975903614457
gradient_boosted_trees,pedestal_drift_bin,mid,1992,-0.21800675808867664,3.8443714713846573,5.2261254326622995,0.20933734939759036,0.04969879518072289
lightweight_transformer,pedestal_drift_bin,mid,1992,2.329200014575391,5.914205888128701,7.2534750314463405,0.4603413654618474,0.13353413654618473
mlp,pedestal_drift_bin,mid,1992,-0.5461365478510878,4.533815132873444,5.566700397804109,0.2605421686746988,0.06325301204819277
ridge,pedestal_drift_bin,mid,1992,-0.1044284961144375,4.199387032029785,5.508863463670474,0.2419678714859438,0.05572289156626506
spectrogram_patch_transformer_new,pedestal_drift_bin,mid,1992,-0.8402283322653155,5.4321854713442095,7.163801747237742,0.35943775100401604,0.11194779116465864
traditional_fft_template_cfd_timewalk,pedestal_drift_bin,mid,1992,0.4492627649050194,0.9518379071733918,0.9473660288651886,0.0,0.0
1d_cnn,phase_slope_bin,central,1557,-0.26502787789022975,5.990461945349844,7.4880696628607035,0.39755940912010274,0.11946050096339114
gradient_boosted_trees,phase_slope_bin,central,1557,-0.5484567703450073,3.8927941345829846,5.392785979792554,0.23121387283236994,0.03018625561978163
lightweight_transformer,phase_slope_bin,central,1557,-0.32141983867041546,6.278671017602402,7.552362627111769,0.4463712267180475,0.1252408477842004
mlp,phase_slope_bin,central,1557,-0.8221982210888892,4.486150981049869,5.554038945019525,0.26396917148362237,0.0449582530507386
ridge,phase_slope_bin,central,1557,-0.20342166979756193,4.626950950567963,5.643010327317123,0.28195247270391777,0.04110468850353243
spectrogram_patch_transformer_new,phase_slope_bin,central,1557,-0.49775104521421376,6.045005289180622,7.537900871109799,0.40655105973025046,0.12395632626846499
traditional_fft_template_cfd_timewalk,phase_slope_bin,central,1557,0.4106687210494222,1.0466908276857032,1.0038954217828606,0.0,0.0
1d_cnn,phase_slope_bin,negative,2262,-1.358437084861774,5.010548333394693,6.258377428239547,0.32316534040671974,0.07382847038019452
gradient_boosted_trees,phase_slope_bin,negative,2262,-0.6281815771935932,3.4761932220771494,4.329514257449697,0.14765694076038904,0.01989389920424403
lightweight_transformer,phase_slope_bin,negative,2262,2.576071930492657,5.3661620624909885,6.317749052936067,0.4292661361626879,0.10831122900088418
mlp,phase_slope_bin,negative,2262,-0.8187446096391064,4.015637317534894,4.751038240597603,0.20910698496905394,0.036251105216622455
ridge,phase_slope_bin,negative,2262,-0.514610058469199,3.8216112069099504,4.727171691647169,0.1958443854995579,0.028293545534924844
spectrogram_patch_transformer_new,phase_slope_bin,negative,2262,-1.5179824988786983,5.1214501027683585,6.208786915234309,0.3448275862068966,0.07648099027409372
traditional_fft_template_cfd_timewalk,phase_slope_bin,negative,2262,0.5931230947519486,0.94516967664351,0.9357264626898494,0.0,0.0
1d_cnn,phase_slope_bin,positive,1647,1.1268833800436653,7.151895965520941,11.540974872638628,0.4584092289010322,0.2167577413479053
gradient_boosted_trees,phase_slope_bin,positive,1647,0.6842703438721784,4.87783051885591,7.050733439877044,0.3205828779599271,0.12264723740133576
lightweight_transformer,phase_slope_bin,positive,1647,1.2366286660925567,8.312584184467534,9.53903746834404,0.554341226472374,0.23982999392835458
mlp,phase_slope_bin,positive,1647,0.6945913721103878,4.952409675434012,7.068304355656142,0.3193685488767456,0.12871888281724347
ridge,phase_slope_bin,positive,1647,0.9251005999404924,4.806731812432476,7.092633603908177,0.3132969034608379,0.1305403764420158
spectrogram_patch_transformer_new,phase_slope_bin,positive,1647,0.9430700983729707,7.906083576821766,10.697458695266063,0.49605343047966,0.2459016393442623
traditional_fft_template_cfd_timewalk,phase_slope_bin,positive,1647,0.20196785161098774,0.9946899300467664,1.0140568487255406,0.0,0.0
1d_cnn,pid_sideband,central,3718,-0.5579526057370447,5.336295080903555,7.283312444323942,0.35260892953200645,0.10328133405056482
