heldout_run,method,family,n_pair_residuals,sigma68_ns,delta_vs_s02b_template_timewalk_ns
58,s02b_global_template_timewalk,traditional,219,1.6048447334450437,0.0
58,template_phase,traditional,219,2.6428031039120548,1.037958370467011
58,cfd20,traditional,219,3.1154211816170307,1.510576448171987
58,optimal_filter_4_12,traditional,219,3.198251911430295,1.5934071779852514
58,cfd30,traditional,219,3.201911704605976,1.5970669711609324
58,cfd10,traditional,216,3.218836472008204,1.6139917385631604
58,cfd40,traditional,219,3.2812253435530834,1.6763806101080396
58,cfd50,traditional,219,3.5303095172513093,1.9254647838062655
58,optimal_filter_1_9,traditional,219,3.787073076585547,2.1822283431405034
58,optimal_filter_3_11,traditional,219,3.7992861212799047,2.194441387834861
58,optimal_filter_2_10,traditional,219,4.127786557832222,2.522941824387178
58,leading_edge_500adc,traditional,219,4.276464547244176,2.6716198137991323
59,s02b_global_template_timewalk,traditional,2289,1.5809913000663671,0.0
59,template_phase,traditional,2289,3.009995046630709,1.429003746564342
59,cfd20,traditional,2280,3.1882004899446317,1.6072091898782646
59,cfd30,traditional,2283,3.2887735735230006,1.7077822734566335
59,cfd10,traditional,2274,3.304324861687367,1.723333561621
59,optimal_filter_4_12,traditional,2289,3.3579742937158144,1.7769829936494472
59,optimal_filter_3_11,traditional,2289,3.418638861318006,1.8376475612516388
59,optimal_filter_1_9,traditional,2289,3.4723473107069522,1.8913560106405851
59,cfd40,traditional,2283,3.4729556455389363,1.8919643454725692
59,optimal_filter_2_10,traditional,2289,3.4813561567370943,1.9003648566707272
59,cfd50,traditional,2283,3.703313382826603,2.1223220827602356
59,leading_edge_500adc,traditional,2283,4.413546547001937,2.83255524693557
60,s02b_global_template_timewalk,traditional,2424,1.4697824355293656,0.0
60,template_phase,traditional,2424,2.6445813281203887,1.174798892591023
60,cfd20,traditional,2424,3.138618995026782,1.6688365594974164
60,cfd10,traditional,2415,3.205015129019356,1.7352326934899904
60,cfd30,traditional,2424,3.2877541313475347,1.817971695818169
60,optimal_filter_1_9,traditional,2424,3.414239973412695,1.9444575378833295
60,cfd40,traditional,2424,3.4424995774391984,1.9727171419098328
60,optimal_filter_2_10,traditional,2424,3.459504262156601,1.9897218266272352
60,optimal_filter_4_12,traditional,2424,3.5255280967999556,2.05574566127059
60,optimal_filter_3_11,traditional,2424,3.536462547531122,2.066680112001756
60,cfd50,traditional,2424,3.604317660973906,2.13453522544454
60,leading_edge_500adc,traditional,2424,3.983702456246327,2.513920020716961
61,s02b_global_template_timewalk,traditional,2799,2.183625117251162,0.0
61,template_phase,traditional,2799,2.7035130270822876,0.5198879098311258
61,cfd20,traditional,2793,2.912165862909456,0.728540745658294
61,cfd30,traditional,2796,3.003079460443761,0.8194543431925991
61,cfd10,traditional,2787,3.0466610389433066,0.8630359216921448
61,cfd40,traditional,2796,3.1362240389870495,0.9525989217358877
61,optimal_filter_4_12,traditional,2799,3.1701789424811055,0.9865538252299437
61,optimal_filter_1_9,traditional,2799,3.2131809082737908,1.029555791022629
61,optimal_filter_3_11,traditional,2799,3.2762058795226983,1.0925807622715364
61,cfd50,traditional,2799,3.299647906643221,1.1160227893920593
61,optimal_filter_2_10,traditional,2799,3.3315403692840295,1.1479152520328677
61,leading_edge_500adc,traditional,2796,3.7428485600637913,1.5592234428126295
62,s02b_global_template_timewalk,traditional,2421,1.6101729343616469,0.0
62,template_phase,traditional,2421,2.9324482653930124,1.3222753310313655
62,cfd20,traditional,2418,3.2285718710142715,1.6183989366526246
62,cfd10,traditional,2418,3.3024720388519624,1.6922991044903155
62,cfd30,traditional,2418,3.3572210161774505,1.7470480818158036
62,optimal_filter_1_9,traditional,2421,3.3870816059720563,1.7769086716104094
62,optimal_filter_4_12,traditional,2421,3.4093765547960477,1.7992036204344009
62,optimal_filter_3_11,traditional,2421,3.416976760062025,1.806803825700378
62,optimal_filter_2_10,traditional,2421,3.4441004047292827,1.8339274703676358
62,cfd40,traditional,2418,3.5101200864868205,1.8999471521251736
62,cfd50,traditional,2418,3.733515960861267,2.1233430264996205
62,leading_edge_500adc,traditional,2418,4.312684622185788,2.702511687824141
63,s02b_global_template_timewalk,traditional,1110,1.5371560224291692,0.0
63,template_phase,traditional,1110,2.963060690899491,1.4259046684703218
63,cfd10,traditional,1110,3.3315524587883734,1.7943964363592042
63,cfd20,traditional,1110,3.4035141628299086,1.8663581404007394
63,optimal_filter_4_12,traditional,1110,3.451954760703928,1.9147987382747589
63,cfd30,traditional,1110,3.4846886834183652,1.947532660989196
63,optimal_filter_3_11,traditional,1110,3.5823342196157366,2.0451781971865675
63,cfd40,traditional,1110,3.5834597127172714,2.046303690288102
63,optimal_filter_1_9,traditional,1110,3.6048269335489103,2.067670911119741
63,optimal_filter_2_10,traditional,1110,3.6073593140869282,2.070203291657759
63,cfd50,traditional,1110,3.759772549262583,2.2226165268334137
63,leading_edge_500adc,traditional,1110,4.583909700007694,3.0467536775785247
65,s02b_global_template_timewalk,traditional,198,1.667027946652682,0.0
65,optimal_filter_4_12,traditional,198,2.8446568308503397,1.1776288841976577
65,template_phase,traditional,198,2.895552665230913,1.2285247185782309
65,cfd30,traditional,198,2.988227268470215,1.321199321817533
65,cfd20,traditional,198,2.9933861916712807,1.3263582450185987
65,cfd40,traditional,198,3.0263353811180798,1.3593074344653977
65,cfd10,traditional,198,3.0629045253402962,1.3958765786876142
65,cfd50,traditional,198,3.273311768824813,1.6062838221721307
65,optimal_filter_3_11,traditional,198,3.3185763785031255,1.6515484318504434
65,optimal_filter_1_9,traditional,198,3.362250551988987,1.6952226053363049
65,optimal_filter_2_10,traditional,198,3.5432740334312656,1.8762460867785835
65,leading_edge_500adc,traditional,198,3.9726274193107756,2.3055994726580935
