run,run_group,sample_family,method,family,model_family,n_pair_residuals,bias_ns,median_ns,sigma68_ns,full_rms_ns,tail_frac_abs_gt5ns,ci_low,ci_high,delta_vs_traditional_ns,delta_ci_low,delta_ci_high
31,sample_i_calib,Sample I,hgb_waveform_amp_shape_stave,ml,gradient_boosted_trees,141,-0.6538524592015923,-0.5672147646767058,0.8863633818444105,1.2101818812554963,0.0,0.6596006755127888,1.2027035381506834,-0.4137889078581538,-0.6282638471513278,-0.10466835112781352
31,sample_i_calib,Sample I,cnn1d_waveform_amp_shape_stave,ml,1d_cnn,141,-0.8646168530969945,-0.8030040537707777,0.8941198356852829,1.0964829102244615,0.0,0.7512606747715669,1.1643085600073577,-0.4060324540172815,-0.62063380053444,-0.13918473629333417
31,sample_i_calib,Sample I,feature_gated_waveform_amp_shape_stave,ml,new_feature_gated_architecture,141,-0.8548845050848312,-0.8949910825576666,1.0706357497108105,1.1464121391512863,0.0,0.9340644445679356,1.2271536768590694,-0.2295165399917538,-0.4705545878481019,-0.010708122048299316
31,sample_i_calib,Sample I,mlp_waveform_amp_shape_stave,ml,mlp,141,-0.7747913388949947,-0.691942584407677,1.1132584919633473,1.2282883925691455,0.0,0.852588156574254,1.3337864824367964,-0.1868937977392171,-0.40603918196230726,0.038832434292313936
31,sample_i_calib,Sample I,ridge_waveform_amp_shape_stave,ml,ridge,141,-0.8701529407997693,-0.7376623271826404,1.1333568785539831,1.206113098905595,0.0,0.8980575642902053,1.3610025765815221,-0.1667954111485812,-0.4285427678052423,0.04376612182425176
31,sample_i_calib,Sample I,analytic_timewalk,traditional,traditional_s03_analytic_timewalk,141,0.9061725726438564,1.2825186903291268,1.3001522897025644,1.4214139233405014,0.0,1.1375666238784456,1.4785927681955688,0.0,0.0,0.0
32,sample_i_calib,Sample I,cnn1d_waveform_amp_shape_stave,ml,1d_cnn,120,-1.0507595541446124,-0.6936085240818031,0.8072652191171356,3.8770959747665876,0.016666666666666666,0.7127970786830921,0.9244439416323765,-0.3679212964670896,-0.47120706759197156,-0.22222219001768914
32,sample_i_calib,Sample I,hgb_waveform_amp_shape_stave,ml,gradient_boosted_trees,120,-0.6792776616937573,-0.3864784935174299,0.8951879046378028,4.038062980580516,0.016666666666666666,0.741283907542317,1.131724571139685,-0.2799986109464223,-0.4401375607801472,-0.05471722054498695
32,sample_i_calib,Sample I,mlp_waveform_amp_shape_stave,ml,mlp,120,-0.9337677746880763,-0.5417972655664087,0.9078837631215875,3.5095374215454265,0.016666666666666666,0.7751485117598279,1.1408620839388028,-0.2673027524626377,-0.44455657965865575,0.009190831265631978
32,sample_i_calib,Sample I,ridge_waveform_amp_shape_stave,ml,ridge,120,-0.9909485674022351,-0.7388327927133211,1.0224531386606857,3.6777078772798744,0.016666666666666666,0.9129423355976852,1.2057710963199444,-0.1527333769235395,-0.2891133271440383,0.054471496136800746
32,sample_i_calib,Sample I,feature_gated_waveform_amp_shape_stave,ml,new_feature_gated_architecture,120,-1.1227981184634035,-0.8321936796128782,1.069520766920535,3.798580061888017,0.016666666666666666,0.8908415036104411,1.2575281539404373,-0.10566574866369005,-0.26953081471948537,0.09014789998024976
32,sample_i_calib,Sample I,analytic_timewalk,traditional,traditional_s03_analytic_timewalk,120,0.789351802704859,1.8580081637600223,1.1751865155842252,3.9249817962510125,0.016666666666666666,1.1093329951843616,1.237672817215927,0.0,0.0,0.0
33,sample_i_calib,Sample I,cnn1d_waveform_amp_shape_stave,ml,1d_cnn,177,-0.6049403944309887,-0.6271140101746084,0.9180014182014201,1.096748721071546,0.0,0.7898324935383249,1.1167708056276138,-0.2195710838410817,-0.3767645444151386,-0.017587365252700046
33,sample_i_calib,Sample I,ridge_waveform_amp_shape_stave,ml,ridge,177,-0.65889468502541,-0.7573271428714037,1.086215835388061,1.1424994461189815,0.0,0.8812147059157839,1.1992710427937803,-0.05135666665444072,-0.30234307074361644,0.039828926204369175
33,sample_i_calib,Sample I,hgb_waveform_amp_shape_stave,ml,gradient_boosted_trees,177,-0.12179473026215232,-0.2644413864250481,1.1249569467390508,1.1833275043158897,0.0,0.8223643458264259,1.3515598423426831,-0.012615555303451043,-0.3448397223287195,0.22716835079887834
33,sample_i_calib,Sample I,mlp_waveform_amp_shape_stave,ml,mlp,177,-0.5553908203669923,-0.5016993346706045,1.1363854763960421,1.3041496566092088,0.011299435028248588,0.9544692312510209,1.335016213635274,-0.0011870256464596718,-0.21139753876311418,0.21170881662432942
33,sample_i_calib,Sample I,analytic_timewalk,traditional,traditional_s03_analytic_timewalk,177,1.2195794416971057,1.7981654692911206,1.1375725020425018,1.1744594089173415,0.0,1.1056487133099355,1.2192389435731337,0.0,0.0,0.0
33,sample_i_calib,Sample I,feature_gated_waveform_amp_shape_stave,ml,new_feature_gated_architecture,177,-0.7055171609818663,-0.8994401899059739,1.2644481188169396,1.3580748917307284,0.011299435028248588,1.0626287637268148,1.3897385257183876,0.12687561677443782,-0.13556804327834768,0.26045064632785203
34,sample_i_calib,Sample I,hgb_waveform_amp_shape_stave,ml,gradient_boosted_trees,150,-0.4880428294329826,-0.3544759944674176,0.858584479469256,2.764187474205965,0.013333333333333334,0.7590588158367518,1.0598498657874953,-0.32794458754718725,-0.48720995603218753,-0.12517205258365585
34,sample_i_calib,Sample I,cnn1d_waveform_amp_shape_stave,ml,1d_cnn,150,-0.8270937828981558,-0.7013218666759435,0.9304913890840242,2.537554157395028,0.013333333333333334,0.7643480945374124,1.133931008300946,-0.25603767793241905,-0.47732642773755757,-0.06060362095295571
34,sample_i_calib,Sample I,mlp_waveform_amp_shape_stave,ml,mlp,150,-0.8345296392603394,-0.5598501037490458,0.9662847941883098,2.5749996644899444,0.013333333333333334,0.8385128350160108,1.164717799384608,-0.22024427282813341,-0.3917290061456695,-0.013575832945990735
34,sample_i_calib,Sample I,ridge_waveform_amp_shape_stave,ml,ridge,150,-0.8723133647703806,-0.7073565084837519,1.0687753228214507,2.5928024995602574,0.013333333333333334,0.9615447336139851,1.2527043856966324,-0.11775374419499252,-0.2924101928861973,0.06661964212918496
34,sample_i_calib,Sample I,feature_gated_waveform_amp_shape_stave,ml,new_feature_gated_architecture,150,-0.8649851479394912,-0.8328287361226394,1.185802955751028,2.6614951963927744,0.013333333333333334,1.0624869387772138,1.3429586069690682,-0.0007261112654153301,-0.21969083288234975,0.14586716217194154
34,sample_i_calib,Sample I,analytic_timewalk,traditional,traditional_s03_analytic_timewalk,150,1.0214034477111023,1.8736804697906138,1.1865290670164432,2.8861940888368602,0.013333333333333334,1.15048126189949,1.3400271895302358,0.0,0.0,0.0
35,sample_i_calib,Sample I,cnn1d_waveform_amp_shape_stave,ml,1d_cnn,108,-0.7378100273623337,-0.7875298021584882,0.871692558184646,1.5545665057200875,0.018518518518518517,0.7047609904214387,1.146340833201073,-0.35291254392949,-0.7449939433974926,-0.13520361626372554
35,sample_i_calib,Sample I,ridge_waveform_amp_shape_stave,ml,ridge,108,-0.6619169294624277,-0.7029424316653277,0.9474788350606266,1.5588144558309431,0.018518518518518517,0.8459681641211823,1.2609181642348182,-0.2771262670535094,-0.62383995170311,-0.01975271976680053
35,sample_i_calib,Sample I,mlp_waveform_amp_shape_stave,ml,mlp,108,-0.7252683389355562,-0.8573159210437957,1.0549537327680343,1.7665222774604616,0.018518518518518517,0.8618738405308248,1.3635432213712813,-0.1696513693461017,-0.49905117311354386,0.03630987521183872
35,sample_i_calib,Sample I,hgb_waveform_amp_shape_stave,ml,gradient_boosted_trees,108,-0.5226134082576936,-0.6252620455592783,1.0663344124260983,1.7111995946082557,0.018518518518518517,0.8524664215826038,1.318639310733012,-0.1582706896880377,-0.5441793663955274,0.07956170636680487
35,sample_i_calib,Sample I,feature_gated_waveform_amp_shape_stave,ml,new_feature_gated_architecture,108,-0.7447606058421888,-0.8477518153471237,1.0874293713013423,1.6335590996980984,0.018518518518518517,0.9023013793753382,1.272247701157345,-0.13717573081279366,-0.5710065896040141,0.06592929550468299
35,sample_i_calib,Sample I,analytic_timewalk,traditional,traditional_s03_analytic_timewalk,108,1.0575996721946705,1.6621048906894913,1.224605102114136,1.9295908104907162,0.018518518518518517,1.1110667992870513,1.5561477683264826,0.0,0.0,0.0
36,sample_i_calib,Sample I,hgb_waveform_amp_shape_stave,ml,gradient_boosted_trees,66,-0.5621329070041836,-0.5183815062172386,0.903745839613324,1.2460328048865938,0.0,0.55167122127433,1.3975363981377287,-0.48063004872465376,-0.8356742986920735,-0.09681676454309777
36,sample_i_calib,Sample I,cnn1d_waveform_amp_shape_stave,ml,1d_cnn,66,-0.6363474643071759,-0.6672760675152638,0.9316034527459118,1.3682895389870908,0.0,0.6707619460310773,1.3013932237679944,-0.4527724355920659,-0.8658205081150314,-0.09747778649895025
36,sample_i_calib,Sample I,ridge_waveform_amp_shape_stave,ml,ridge,66,-0.6911541717905253,-0.7453644611939012,0.9587245379976366,1.4516324620491368,0.015151515151515152,0.7512368107432756,1.3990780757715848,-0.4256513503403412,-0.8955235899643349,-0.05646130130352609
36,sample_i_calib,Sample I,mlp_waveform_amp_shape_stave,ml,mlp,66,-0.5657789531010836,-0.5848057483187112,0.9907989186767339,1.3859478204466849,0.0,0.8105662020511571,1.5100836409522984,-0.3935769696612439,-0.9033883347893964,0.0857495079590195
36,sample_i_calib,Sample I,feature_gated_waveform_amp_shape_stave,ml,new_feature_gated_architecture,66,-0.5536780471873369,-0.5351467684923996,1.1344467885118037,1.4155324982997337,0.0,0.8132484241746105,1.4256991105063872,-0.24992909982617406,-0.7834703853757174,0.10346521246912153
36,sample_i_calib,Sample I,analytic_timewalk,traditional,traditional_s03_analytic_timewalk,66,1.2281735361142325,1.8071735684860073,1.3843758883379778,1.4829174969506356,0.0,1.1355845969826108,1.9104568133752104,0.0,0.0,0.0
