method,sigma68_ns_ci_low,sigma68_ns_ci_high,tail_abs_gt_0p5_ns_ci_low,tail_abs_gt_0p5_ns_ci_high,bias_ns_ci_low,bias_ns_ci_high,delta_sigma68_vs_uncorrected_ns_ci_low,delta_sigma68_vs_uncorrected_ns_ci_high
uncorrected,2.8485260656631604,3.0478103873366007,0.9172900500487702,0.9298787611123775,-3.5346974147425114,-3.3086613913926515,0.0,0.0
traditional_binned_median,1.3411357234077432,1.4116800521943538,0.698208342449754,0.7262252999820906,-0.5684714942351466,-0.30401165732672975,-1.6636927410218978,-1.458058397518373
ridge,2.2938055844414893,2.5160345534200403,0.8148948105378451,0.8330709285838955,-0.23715898570630822,0.2938538391314342,-0.7014198347972345,-0.3874463303423994
gradient_boosted_trees,1.1743026464259803,1.2510141930166445,0.6535688815227771,0.6848414378286041,-0.11746418769535752,0.08839641113642636,-1.8311710464868467,-1.6355525693500828
mlp,1.0916655985651107,1.1884164238576758,0.6203272931140451,0.6567400267832424,-0.2632549201288596,0.2736179072454153,-1.910168957235967,-1.6810252054267625
one_dimensional_cnn,1.3191925660234383,1.3657108994935225,0.6914569113102251,0.7075464243382062,-0.3538801133859004,-0.19399817032625719,-1.698946859677782,-1.5003120013788953
nuisance_gated_pair_cnn,1.3041503793689702,1.3571665233949726,0.6864088631429834,0.7002237136465325,-0.5013617088566623,-0.2955961015325333,-1.7096144804984057,-1.5069976073492461
ridge_controls_only,2.273143249931543,2.5069911086822474,0.8130877705554949,0.8394279970108255,-0.23277482068351724,0.26911531677894923,-0.7373378318669227,-0.36429758803204104
gradient_boosted_trees_controls_only,1.1923136834580705,1.2677651211122793,0.6587428899647659,0.6820381446942682,-0.10359698376426087,0.11555686638687032,-1.8234800717928314,-1.6155718403102832
ridge_plus_sorted_proxy,2.2938055844414893,2.5160345534200403,0.8148948105378451,0.8330709285838955,-0.23715898570630822,0.2938538391314342,-0.7014198347972345,-0.3874463303423994
gradient_boosted_trees_plus_sorted_proxy,1.1743026464259803,1.2510141930166445,0.6535688815227771,0.6848414378286041,-0.11746418769535752,0.08839641113642636,-1.8311710464868467,-1.6355525693500828
