stratum,value,method,n,energy_sigma68_frac,timing_sigma68_ns
multiplicity,1,traditional_charge_ratio_template,225869,0.029141525496798763,10.0
multiplicity,2,traditional_charge_ratio_template,11235,0.6800642149039874,23.9677352130413
multiplicity,3,traditional_charge_ratio_template,7278,0.3477345244281431,19.083944870531543
multiplicity,4,traditional_charge_ratio_template,4401,0.2217676589820401,17.315225154161453
saturation,0,traditional_charge_ratio_template,145366,0.10992647610397491,15.0
saturation,1,traditional_charge_ratio_template,103396,0.02202187174122651,5.0
saturation,2,traditional_charge_ratio_template,21,0.040718380016318875,8.277794063091278
pedestal_state,high,traditional_charge_ratio_template,48286,0.12478666225069572,14.96349675953386
pedestal_state,low,traditional_charge_ratio_template,20686,0.01537522634651548,10.0
pedestal_state,mid,traditional_charge_ratio_template,179811,0.029307318488458266,10.0
multiplicity,1,ridge,225869,0.12137369532337482,0.8191405307140698
multiplicity,2,ridge,11235,0.2873936253042906,6.515186697532923
multiplicity,3,ridge,7278,0.2235951327170996,8.07719397075674
multiplicity,4,ridge,4401,0.18328173988960195,11.527275640162058
saturation,0,ridge,145366,0.19295101756597385,1.2870877083210395
saturation,1,ridge,103396,0.05689344291574036,0.6775082753452777
saturation,2,ridge,21,0.0648787701914302,4.616516404586839
pedestal_state,high,ridge,48286,0.18390073496472306,1.0847474139197937
pedestal_state,low,ridge,20686,0.13397939748256962,0.8804691272483136
pedestal_state,mid,ridge,179811,0.10442182303518924,0.894247283675871
multiplicity,1,gradient_boosted_trees,225869,0.042136310432375576,0.8461096170100024
multiplicity,2,gradient_boosted_trees,11235,0.13505967152200848,4.515895076494018
multiplicity,3,gradient_boosted_trees,7278,0.08235454023387205,4.478733786365984
multiplicity,4,gradient_boosted_trees,4401,0.09272376995228568,4.762322415134417
saturation,0,gradient_boosted_trees,145366,0.0551942385616234,0.9290866420279231
saturation,1,gradient_boosted_trees,103396,0.025554106923185438,0.2998232554305158
saturation,2,gradient_boosted_trees,21,0.06573728038071905,3.3027372763357583
pedestal_state,high,gradient_boosted_trees,48286,0.05946632828948334,0.8461096170100024
pedestal_state,low,gradient_boosted_trees,20686,0.038175357635818294,0.5962343361446321
pedestal_state,mid,gradient_boosted_trees,179811,0.046787732419523935,0.8201834945808892
multiplicity,1,mlp,225869,0.014910890953615811,0.060840499010635436
multiplicity,2,mlp,11235,0.10795858915155838,0.6925834222875651
multiplicity,3,mlp,7278,0.07909828174809057,0.9768492399686447
multiplicity,4,mlp,4401,0.05649451160790911,1.2442443107686696
saturation,0,mlp,145366,0.037236950058019386,0.11125884055466573
saturation,1,mlp,103396,0.00847173287738755,0.02120184086979205
saturation,2,mlp,21,0.06779721745050535,1.478259913647123
pedestal_state,high,mlp,48286,0.031053612250805294,0.08229576985847054
pedestal_state,low,mlp,20686,0.020380220732565735,0.07326782315848046
pedestal_state,mid,mlp,179811,0.01595108366509636,0.05949441971534863
multiplicity,1,1d_cnn,225869,0.1624883085299989,6.465919971466063
multiplicity,2,1d_cnn,11235,0.4447954655996855,15.517800620198248
multiplicity,3,1d_cnn,7278,0.5872906052245788,9.396341580152512
multiplicity,4,1d_cnn,4401,0.33694981131997515,5.689433068037033
saturation,0,1d_cnn,145366,0.22212101937006656,7.97652542591095
saturation,1,1d_cnn,103396,0.03884780475358687,5.040695667266846
saturation,2,1d_cnn,21,0.15739757408766236,5.860020101070404
pedestal_state,high,1d_cnn,48286,0.21915409203189096,7.5181899070739755
pedestal_state,low,1d_cnn,20686,0.1516644330720154,5.3378472328186035
pedestal_state,mid,1d_cnn,179811,0.16044941287970732,6.558253526687622
multiplicity,1,tiny_transformer_multitask,225869,0.18899891913379918,6.426577758789063
multiplicity,2,tiny_transformer_multitask,11235,0.3191922036852157,14.371433985233306
multiplicity,3,tiny_transformer_multitask,7278,0.4286474273385076,10.281584793329237
multiplicity,4,tiny_transformer_multitask,4401,0.25152979204017567,8.458719700574875
saturation,0,tiny_transformer_multitask,145366,0.20281311050643303,7.780046343803404
saturation,1,tiny_transformer_multitask,103396,0.040979125135209786,3.5670108795166016
saturation,2,tiny_transformer_multitask,21,0.15133459189716897,5.22174197435379
pedestal_state,high,tiny_transformer_multitask,48286,0.23675156818997037,7.030456066131592
pedestal_state,low,tiny_transformer_multitask,20686,0.16670373179791104,4.906042575836182
pedestal_state,mid,tiny_transformer_multitask,179811,0.17976753128606815,6.036766529083252
multiplicity,1,pedestal_tail_fusion_new,225869,0.1197757496304187,0.2596315908693654
multiplicity,2,pedestal_tail_fusion_new,11235,0.29616101543615764,4.0930196992416725
multiplicity,3,pedestal_tail_fusion_new,7278,0.254516974569706,4.403772746117025
multiplicity,4,pedestal_tail_fusion_new,4401,0.252340542354655,5.6540932487810736
saturation,0,pedestal_tail_fusion_new,145366,0.2147074349956187,0.6206637478960831
saturation,1,pedestal_tail_fusion_new,103396,0.06801339425252209,0.07938694220004194
saturation,2,pedestal_tail_fusion_new,21,0.09151388783932489,2.685452401383891
pedestal_state,high,pedestal_tail_fusion_new,48286,0.20359722111550005,0.517520554075583
pedestal_state,low,pedestal_tail_fusion_new,20686,0.16184122838802456,0.3722367919518703
pedestal_state,mid,pedestal_tail_fusion_new,179811,0.10781907722413178,0.2722487538744146
