method,pileup_proxy,saturation_flag,n,rmse_adc,bias_adc,median_abs_residual_adc
ML_gradient_boosted_trees,0,0,3737,79.47869787242526,1.8133659335455212,25.808984551074445
ML_gradient_boosted_trees,0,1,2,378.5551200297553,224.13805523397264,305.06738779600005
ML_gradient_boosted_trees,1,0,8632,77.87851489798122,-0.6430262889348596,13.213790227249547
ML_gradient_boosted_trees,1,1,641,129.99689546922588,1.3320902697041916,29.240965042054086
ML_mlp,0,0,3737,268.6730700410603,-3.016923746706682,97.48640441894531
ML_mlp,0,1,2,723.6216022097361,19.2236328125,723.3662109375
ML_mlp,1,0,8632,243.93875024281104,-16.01095560549364,117.130859375
ML_mlp,1,1,641,670.2981546109404,-30.723975599648988,455.8359375
ML_ridge,0,0,3737,246.04081158881908,11.802210553878446,120.94287109375
ML_ridge,0,1,2,117.14923321185628,-22.508544921875,114.966552734375
ML_ridge,1,0,8632,245.48151799596855,13.499314273696347,123.2161865234375
ML_ridge,1,1,641,482.02851516269095,-32.95287857412734,357.080078125
NN_1d_cnn,0,0,3737,3741.349100006506,3263.5360870810478,3354.8984375
NN_1d_cnn,0,1,2,2663.384970474039,-1724.16796875,2029.9912109375
NN_1d_cnn,1,0,8632,3958.8782668402678,3665.3216850132276,3802.73291015625
NN_1d_cnn,1,1,641,1208.4952912961137,-546.4819684437769,617.1474609375
NN_transformer_new,0,0,3737,13255.467819540358,12439.058997754717,13584.0126953125
NN_transformer_new,0,1,2,1248.951378590636,1247.3310546875,1247.3310546875
NN_transformer_new,1,0,8632,14253.989696400238,14162.798573067057,14235.8046875
NN_transformer_new,1,1,641,10734.12445404365,10601.714927542414,10886.189453125
traditional_sideband_energy_window,0,0,3737,593.2655949060268,290.5004079146041,245.25750522366707
traditional_sideband_energy_window,0,1,2,2201.0009400243143,1105.8180446003062,1903.0427189698794
traditional_sideband_energy_window,1,0,8632,304.6437140829394,-7.88415862780161,6.3654859113125895
traditional_sideband_energy_window,1,1,641,537.9665859258575,43.60028993871638,15.405247772483563
