method,run,n,bias_ns,sigma68_ns,rms_ns,tail_fraction_abs_gt_5ns,tail_fraction_abs_gt_10ns,calibration_slope,q_template_mse,failure_rate_abs_gt_5ns
1d_cnn,42,597,1.2320521143092762,6.756399562332914,7.421826353278435,0.4539363484087102,0.1440536013400335,1.0232831696611888,0.2477986647540307,0.4539363484087102
1d_cnn,50,620,-2.6858386428070045,14.440884743781176,13.43763186686105,0.49032258064516127,0.3096774193548387,0.9807201449959564,0.19337668529713212,0.49032258064516127
1d_cnn,57,610,1.7263169848698325,6.696058763476037,6.927020497745281,0.4786885245901639,0.12950819672131147,1.0423935214332183,0.21883468638772313,0.4786885245901639
1d_cnn,58,594,-3.9740064763926597,6.026599967758688,6.820085597757561,0.48653198653198654,0.16666666666666666,1.04744462173038,0.18341250040181767,0.48653198653198654
1d_cnn,60,640,-0.3550546374148835,4.70474642673811,6.066799450733304,0.29375,0.0703125,0.9994930189111876,0.15976598623690796,0.29375
1d_cnn,62,640,-0.9947297018888692,4.809648142804862,5.903158789866991,0.30625,0.0828125,1.0104865636948106,0.15353035940234294,0.30625
1d_cnn,64,640,-1.626187071853459,4.633441292912785,5.927268855134919,0.3109375,0.0890625,1.025858351035923,0.12095621608304426,0.3109375
1d_cnn,65,585,-1.9919019007648409,5.065146795160718,5.873500144889641,0.36752136752136755,0.10085470085470086,1.0423952177540439,0.13612330700774977,0.36752136752136755
compact_waveform_transformer,42,597,1.132526121749784,5.100963653475144,6.1429511392072635,0.34003350083752093,0.10050251256281408,1.0337646519706312,0.2477986647540307,0.34003350083752093
compact_waveform_transformer,50,620,-1.002947745609629,14.125069084477662,14.230591700515497,0.3870967741935484,0.3032258064516129,0.971111022562842,0.19337668529713212,0.3870967741935484
compact_waveform_transformer,57,610,1.3911606080311785,5.603821673854675,5.512009675068266,0.3836065573770492,0.09508196721311475,1.0363884923151796,0.21883468638772313,0.3836065573770492
compact_waveform_transformer,58,594,-3.095058807899865,6.101530462726611,5.982651851566141,0.4444444444444444,0.12457912457912458,1.0259793829083497,0.18341250040181767,0.4444444444444444
compact_waveform_transformer,60,640,-0.05238720771896688,5.710912079849641,6.585798820814779,0.3765625,0.065625,1.0491870662544944,0.15976598623690796,0.3765625
compact_waveform_transformer,62,640,-0.2235259276724859,5.505105628838352,5.616950696598582,0.3453125,0.0703125,1.0622377813881867,0.15353035940234294,0.3453125
compact_waveform_transformer,64,640,-0.33967164692584273,5.442438370344728,5.630251584553049,0.3328125,0.0515625,1.0374208223562207,0.12095621608304426,0.3328125
compact_waveform_transformer,65,585,-0.866804626039082,5.4978917193042,5.430338876327805,0.3333333333333333,0.05299145299145299,1.0259994021902836,0.13612330700774977,0.3333333333333333
gradient_boosted_trees,42,597,1.7908875221446365,2.3477829210338097,2.736954615033412,0.1407035175879397,0.011725293132328308,1.0188695323361836,0.2477986647540307,0.1407035175879397
gradient_boosted_trees,50,620,0.4578817890863486,13.974173590214937,13.755445771965956,0.2870967741935484,0.26129032258064516,0.9525327895108855,0.19337668529713212,0.2870967741935484
gradient_boosted_trees,57,610,1.1318541245006455,2.8711771447569663,2.9888191887274704,0.15901639344262294,0.009836065573770493,1.0220144129166304,0.21883468638772313,0.15901639344262294
gradient_boosted_trees,58,594,-3.743473558222176,3.0081296965051054,3.320914013185806,0.3047138047138047,0.010101010101010102,1.018379513975604,0.18341250040181767,0.3047138047138047
