method,detection_ap,detection_auc,time_bias_ns,time_sigma68_ns,late_tail_rate_abs_gt_15ns,pileup_miss_rate,false_split_rate,energy_fractional_bias,energy_fractional_sigma68,n_events,n_positive,detection_ap_ci_low,detection_ap_ci_high,detection_auc_ci_low,detection_auc_ci_high,time_bias_ns_ci_low,time_bias_ns_ci_high,time_sigma68_ns_ci_low,time_sigma68_ns_ci_high,late_tail_rate_abs_gt_15ns_ci_low,late_tail_rate_abs_gt_15ns_ci_high,pileup_miss_rate_ci_low,pileup_miss_rate_ci_high,false_split_rate_ci_low,false_split_rate_ci_high,energy_fractional_bias_ci_low,energy_fractional_bias_ci_high,energy_fractional_sigma68_ci_low,energy_fractional_sigma68_ci_high
template_residual_boosted_stack_new,0.8572358823725814,0.841862765514369,-0.07593871720264378,6.5650164411082965,0.08353221957040573,0.28741496598639454,0.20578231292517007,-0.004550557964946717,0.06004960302011417,1176,588,0.8318747544915587,0.8825193988700295,0.8144225207089638,0.8656780739506686,-0.5070394183618202,0.35052343958434484,5.525134176074572,7.344881898869546,0.07018434699239359,0.09962812953209679,0.24651360544217688,0.3282312925170068,0.16156462585034015,0.2559948979591837,-0.013045502216979908,0.005191951589190988,0.05542373167685994,0.06493057798687066
gradient_boosted_trees,0.859504302874961,0.8413219029108241,-0.1446664463075198,6.65395984867039,0.0787037037037037,0.2653061224489796,0.2193877551020408,-0.0061652210248466345,0.06343667995877658,1176,588,0.8338575316649385,0.8791934811582299,0.8125219815817484,0.8620914607339535,-0.3525202473723972,0.13784621439394407,5.90381744902245,7.466715080399037,0.06019345238095238,0.10323776127612762,0.23469387755102042,0.30952380952380953,0.16747448979591836,0.2755952380952381,-0.016234936045613563,0.0024859245482111293,0.055070964543081885,0.07104551508329089
two_pulse_template_likelihood_traditional,0.6535728766629105,0.6061363320838541,0.9432935979233203,8.475815745662059,0.1688888888888889,0.6173469387755102,0.17346938775510204,-0.006352644676904244,0.07476689892996013,1176,588,0.6247119938268131,0.6808422811033076,0.5691678669767226,0.6377058242514693,0.157138433031081,1.4270558091136465,7.6219725577105155,9.122474449066507,0.14027055841647892,0.19841245332809299,0.5654336734693878,0.6717687074829932,0.14026360544217686,0.2126700680272109,-0.021586935070654734,0.0055431306811922,0.06667586456427708,0.08339576189711234
1d_cnn,0.803010946690185,0.7966992919616825,0.22588255859965045,8.804562237253556,0.1223529411764706,0.27721088435374147,0.2602040816326531,-0.020051127950406648,0.09006326141873794,1176,588,0.7804641658123525,0.8319139566732173,0.7748194473367579,0.8244787328196584,-0.15560203428054964,0.5243654375414756,8.215951083285214,9.595111292678748,0.0967087937764583,0.14218362282878413,0.25170068027210885,0.3155187074829932,0.21598639455782312,0.29511054421768707,-0.04064755148768849,-0.009180789929257626,0.0734859476059831,0.0983706529417728
ridge,0.8290505786985023,0.824936947568143,0.24969152373712777,8.984450012709498,0.125,0.2653061224489796,0.24149659863945577,0.007341081587414081,0.07314980049921532,1176,588,0.8090635545013566,0.8505932873722949,0.8020299701513259,0.8452332506131705,-0.4469889518006399,0.9304002035914871,8.16652214554466,9.657185641971084,0.10043577981651376,0.14660523300229183,0.21760204081632653,0.31802721088435376,0.19808673469387755,0.2976190476190476,-0.0022949369356844076,0.019077013869972254,0.063741503382369,0.08017080370210326
mlp,0.8506400957362028,0.8362777083622566,-0.005091619641026668,9.27518577095415,0.15476190476190477,0.2857142857142857,0.20238095238095238,-0.0050189055728381855,0.11040280760391272,1176,588,0.8368047678583583,0.866363271575024,0.8201564596927207,0.8533764866490815,-0.526761940895879,0.45107124230968854,8.725344399183397,9.711728805514236,0.14225230414746542,0.165890696489364,0.24570578231292517,0.3274234693877551,0.17006802721088435,0.24749149659863945,-0.01930742175454041,0.007186977403791002,0.09374817363783838,0.11800837862596002
residual_tail_veto_traditional,0.656150498150895,0.6191777731500764,1.1351671891884152,9.369903480301076,0.1836734693877551,0.5833333333333334,0.2465986394557823,-0.0027843139341976017,0.07690269702385494,1176,588,0.6223831592747577,0.6942875038231313,0.5933958362256467,0.6527538438844926,0.2980797627824572,1.474598269637981,8.756054126205413,9.797056993238469,0.15694081272084806,0.20909075332406446,0.5042091836734693,0.653954081632653,0.2108843537414966,0.284906462585034,-0.01867460578253983,0.006417733082894651,0.06771754220040359,0.08771666882242042
tiny_sequence_transformer,0.8187222651298852,0.7978475403766949,-5.104636930129298,13.603122113576514,0.2869897959183674,0.3333333333333333,0.23639455782312926,-0.09238030014698545,0.10591954599781947,1176,588,0.8018135794628081,0.8382123342568935,0.7794154779258642,0.8215198962237956,-5.756986577438289,-3.9196796144699477,12.839459008632781,14.347909170003616,0.26539829044140917,0.3083277665381532,0.2984268707482993,0.3726190476190476,0.18877551020408162,0.2789115646258503,-0.11434805708269238,-0.07875359321528581,0.09987226673054822,0.11640242705356187
causal_window_transformer_new,0.8198616031228542,0.8010927159979638,-7.345953707600366,13.835170384397273,0.3201058201058201,0.35714285714285715,0.1921768707482993,-0.008191764303792481,0.09357752049542087,1176,588,0.7968500168736953,0.8469928536219342,0.7775121911009302,0.8264814429173031,-9.106638948877459,-6.013602329779122,12.897373649171818,14.289843132228643,0.28607594936708863,0.3540302811824081,0.32223639455782316,0.396343537414966,0.15816326530612246,0.23397108843537417,-0.02287650856765161,0.011263661995819133,0.08067090734583499,0.09949735541825136
wiener_tail_deconvolution_traditional,0.6067722106779809,0.6279906520431302,1.0663405951902982,16.267016109063032,0.3473895582329317,0.576530612244898,0.4574829931972789,0.3035517028131585,0.16889615697058605,1176,588,0.5775826067562617,0.640333138935466,0.5868104001804804,0.658823363529085,0.31316834956375017,1.8468809962991661,15.086197047718121,17.846850533666085,0.3191881918819188,0.38370969726802856,0.5153061224489796,0.6557397959183674,0.410671768707483,0.5059948979591836,0.2796774244196423,0.3362137417727356,0.1474654516466065,0.18289946447485456
