method,stratum,level,n,bias_ns,sigma68_ns,rms_ns,tail_fraction_abs_gt_5ns,tail_fraction_abs_gt_10ns
1d_cnn,energy_bin,q1_low,923,2.3399509034883437,9.752885278091393,16.996991036642516,0.6088840736728061,0.3315276273022752
edge_attention_cnn_new,energy_bin,q1_low,923,-1.014973163364786,9.296262953455875,14.622250907463336,0.5243770314192849,0.3120260021668472
gradient_boosted_trees,energy_bin,q1_low,923,-0.44502167597220765,3.7987095670694204,4.757990770912434,0.18418201516793067,0.041170097508125676
mlp,energy_bin,q1_low,923,-0.14897619065213252,3.8023269418917023,4.785075914460152,0.218851570964247,0.041170097508125676
ridge,energy_bin,q1_low,923,0.8563592432657856,4.046050585823954,5.1906608268606,0.22643553629469124,0.05200433369447454
traditional_cfd_template_timewalk,energy_bin,q1_low,923,0.13235469258685395,1.0661530579008804,1.1048615576886718,0.0,0.0
waveform_transformer,energy_bin,q1_low,923,4.334757387107089,9.09079479058872,13.539911878236902,0.6403033586132177,0.3228602383531961
1d_cnn,energy_bin,q2,999,1.7382756763654044,7.601509577313719,13.332930052529893,0.5105105105105106,0.24424424424424424
edge_attention_cnn_new,energy_bin,q2,999,-0.21836355629335813,7.52204062064353,10.132718750526141,0.46546546546546547,0.2032032032032032
gradient_boosted_trees,energy_bin,q2,999,-0.4931901758781909,3.6960400470476946,4.9017585762689855,0.16316316316316315,0.043043043043043044
mlp,energy_bin,q2,999,-0.9199589118855824,4.271428981326652,5.136363696985504,0.24724724724724725,0.042042042042042045
ridge,energy_bin,q2,999,-0.08953727953250379,4.061670166650899,5.204896848032465,0.23123123123123124,0.042042042042042045
traditional_cfd_template_timewalk,energy_bin,q2,999,0.5823972783454394,0.9537837680283434,0.8736870409179675,0.0,0.0
waveform_transformer,energy_bin,q2,999,4.565297616814474,7.760991701332221,11.301950757152003,0.6196196196196196,0.3003003003003003
1d_cnn,energy_bin,q3,974,-0.3286970014606352,10.155324536765242,14.240731691647799,0.6016427104722792,0.30903490759753593
edge_attention_cnn_new,energy_bin,q3,974,1.4724616119566853,6.531544136272821,9.265663652721694,0.4455852156057495,0.1570841889117043
gradient_boosted_trees,energy_bin,q3,974,-0.49233802100263424,3.685809641370257,4.675685782183346,0.17248459958932238,0.03593429158110883
