method,pedestal_state,n,energy_bias,energy_sigma68,pid_positive_rate
1d_cnn,nominal,11,-0.10237119520032728,0.055638552115160354,0.0
1d_cnn,shifted,38,-0.06532293811344592,0.2119418705473597,0.13157894736842105
ar1_charge_ratio_likelihood_traditional,nominal,23,0.070191088263489,0.09644885551271352,0.0
ar1_charge_ratio_likelihood_traditional,shifted,22,0.06537173450162326,0.09803174992924912,0.045454545454545456
gradient_boosted_trees,nominal,21,0.011491725192206358,0.05481175532501664,0.047619047619047616
gradient_boosted_trees,shifted,62,-0.024127162711587883,0.11273612838506938,0.12903225806451613
mlp,nominal,18,0.021177204747925258,0.12644144070713248,0.05555555555555555
mlp,shifted,53,0.019093978191291557,0.19894020207085342,0.16981132075471697
pedestal_memory_fusion_new,nominal,18,-0.007781636496464113,0.056388057475639186,0.05555555555555555
pedestal_memory_fusion_new,shifted,60,-0.033171604705694066,0.11418306888704147,0.13333333333333333
ridge,nominal,24,-0.007550628196819896,0.0526022538289615,0.041666666666666664
ridge,shifted,61,-0.002162694792134134,0.09690406288918027,0.14754098360655737
tiny_sequence_transformer,nominal,25,-0.028550669350533846,0.09069991026040206,0.04
tiny_sequence_transformer,shifted,43,-0.04503272568045033,0.21642192542349614,0.16279069767441862
