method,stratum,level,n,bias_ns,sigma68_ns,rms_ns,tail_fraction_abs_gt_5ns,tail_fraction_abs_gt_10ns
1d_cnn,energy_bin,q1_low,1403,0.2592120790359509,6.907895774211076,9.880133596988802,0.4319315751960085,0.2059871703492516
compact_waveform_transformer,energy_bin,q1_low,1403,-0.0189525450880694,5.024633215419875,6.631962603776926,0.3321454027084818,0.0848182466143977
derivative_gate_transformer_new,energy_bin,q1_low,1403,1.2146994731334928,6.998586020907135,8.75191529329377,0.451176051318603,0.1888809693513898
gradient_boosted_trees,energy_bin,q1_low,1403,-0.1985242325481948,3.805251387310882,5.538716571954703,0.2138275124732715,0.0513186029935851
mlp,energy_bin,q1_low,1403,-0.4951940116853635,4.21873015573307,5.63193895668146,0.2437633642195295,0.052031361368496
ridge,energy_bin,q1_low,1403,0.8882435966580076,4.144794177685639,5.55243296089108,0.2487526728439059,0.0584461867426942
traditional_cfd_template_derivative,energy_bin,q1_low,1403,-0.1016106432278647,1.0160171895471923,1.0320078032093627,0.0007127583749109,0.0
1d_cnn,energy_bin,q2,1531,1.5888979846916946,4.677171832942367,6.720705416121469,0.3213585891574134,0.1018941868060091
compact_waveform_transformer,energy_bin,q2,1531,0.7186143771947435,4.783865291205636,6.193455185193226,0.3004572175048987,0.069888961463096
derivative_gate_transformer_new,energy_bin,q2,1531,1.3315226574829957,5.832154612730227,7.020612781133905,0.3905943827563684,0.1143043762246897
gradient_boosted_trees,energy_bin,q2,1531,0.1904093949681211,3.728625920652945,5.240683446561439,0.193990855649902,0.0542129327237099
mlp,energy_bin,q2,1531,-0.6004497919500951,4.387644087547917,5.456063531139195,0.2514696276943174,0.0483344219464402
ridge,energy_bin,q2,1531,0.2048636510599877,3.899362195814192,5.447801378745987,0.2338340953625081,0.0496407576747224
traditional_cfd_template_derivative,energy_bin,q2,1531,0.3379724206544736,0.8045880858050446,0.743906535654405,0.0,0.0
1d_cnn,energy_bin,q3,1458,4.729086203761624,4.730405118963548,7.1310191303787365,0.546639231824417,0.176954732510288
compact_waveform_transformer,energy_bin,q3,1458,0.6393336626312438,5.534881986635404,7.236887976833712,0.3696844993141289,0.1021947873799725
derivative_gate_transformer_new,energy_bin,q3,1458,2.308743673345964,6.039497327536611,7.48440413489731,0.4375857338820302,0.1282578875171467
gradient_boosted_trees,energy_bin,q3,1458,-0.1132970319957871,4.119855295793678,5.316646011737255,0.2393689986282579,0.0480109739368998
mlp,energy_bin,q3,1458,-0.45969728343373,4.605927365535242,5.480346574750351,0.2736625514403292,0.0521262002743484
ridge,energy_bin,q3,1458,-0.5103445193393794,4.196597741210737,5.434206197036597,0.2558299039780521,0.0473251028806584
traditional_cfd_template_derivative,energy_bin,q3,1458,0.4826174196355968,0.7924538598242141,0.7851411926176103,0.0,0.0
1d_cnn,energy_bin,q4_high,1074,-0.1909002944318838,6.486203522176641,7.366328947792424,0.4366852886405959,0.1424581005586592
compact_waveform_transformer,energy_bin,q4_high,1074,-3.4614328324947152,4.910671708308353,6.515646780881745,0.4292364990689013,0.1405959031657355
derivative_gate_transformer_new,energy_bin,q4_high,1074,4.330486659653557,5.892719123827583,7.509839852756192,0.5707635009310987,0.1322160148975791
gradient_boosted_trees,energy_bin,q4_high,1074,-0.1672470058920057,3.728674474771701,5.041088305597063,0.2411545623836126,0.0391061452513966
mlp,energy_bin,q4_high,1074,-0.933214538424356,3.9735200374662,5.228086862234571,0.2523277467411545,0.047486033519553
ridge,energy_bin,q4_high,1074,-0.4924935910681873,3.8472000338333854,5.256290403812947,0.2169459962756052,0.0437616387337057
traditional_cfd_template_derivative,energy_bin,q4_high,1074,0.2144742580972796,1.0097957594762763,0.901414564444934,0.0,0.0
1d_cnn,pedestal_drift_bin,high,1681,1.7060641278510396,8.273605291647742,10.254977186406954,0.5312314098750743,0.2498512790005949
compact_waveform_transformer,pedestal_drift_bin,high,1681,-1.2636891690876837,6.120608508896447,7.85244305105746,0.4265318262938727,0.1302795954788816
derivative_gate_transformer_new,pedestal_drift_bin,high,1681,0.321960662196302,8.338848971354583,9.476603821428991,0.5568114217727543,0.2224866151100535
