axis,method,levels,best_level,best_sigma68_ns,worst_level,worst_sigma68_ns,sigma68_span_ns
curvature_energy_bin,1d_cnn,3,smooth,4.607442555538167,curved,6.323491744036898,1.7160491884987303
curvature_energy_bin,shape_gate_transformer_new,3,smooth,4.395796256935279,curved,5.8179074574710175,1.4221112005357384
curvature_energy_bin,compact_waveform_transformer,3,curved,5.625852504296281,moderate,6.635576549892539,1.0097240455962577
curvature_energy_bin,gradient_boosted_trees,3,smooth,3.4837357985161237,moderate,4.007515426278867,0.5237796277627433
curvature_energy_bin,mlp,3,smooth,4.058956779748122,moderate,4.509589631671762,0.4506328519236398
curvature_energy_bin,ridge,3,smooth,3.901179496791288,moderate,4.138696200696714,0.23751670390542579
curvature_energy_bin,traditional_cfd_crrc_lognormal_template,3,moderate,0.9732778904807252,curved,1.08590360928807,0.11262571880734484
derivative_onset_bin,1d_cnn,3,sharp,4.40394225856569,slow,8.913292480871343,4.5093502223056525
derivative_onset_bin,compact_waveform_transformer,3,nominal,6.310843302318535,slow,8.200140987582941,1.8892976852644061
derivative_onset_bin,gradient_boosted_trees,3,sharp,3.0499206815360385,slow,4.859862070694151,1.8099413891581122
derivative_onset_bin,shape_gate_transformer_new,3,sharp,4.39193463358885,slow,6.124168161327566,1.7322335277387158
derivative_onset_bin,mlp,3,nominal,3.8187495777083376,slow,4.779682473310978,0.9609328956026406
derivative_onset_bin,ridge,3,sharp,3.8543900604449823,slow,4.424973448799129,0.5705833883541467
derivative_onset_bin,traditional_cfd_crrc_lognormal_template,3,sharp,0.9600798910065418,slow,1.0197334975258947,0.05965360651935292
energy_bin,1d_cnn,4,q2,4.45115745822525,q1_low,6.90080243079132,2.4496449725660696
energy_bin,compact_waveform_transformer,4,q4_high,5.448216728552593,q1_low,7.015010011186865,1.566793282634272
energy_bin,shape_gate_transformer_new,4,q2,4.52402850797665,q4_high,5.317466597676785,0.7934380897001354
energy_bin,mlp,4,q1_low,4.085174069188323,q3,4.517372528188448,0.43219845900012466
energy_bin,gradient_boosted_trees,4,q4_high,3.5207015358176323,q3,3.812318098902737,0.29161656308510464
energy_bin,ridge,4,q1_low,3.923215459676717,q3,4.202770540635539,0.2795550809588221
