axis,method,levels,best_level,best_sigma68_ns,worst_level,worst_sigma68_ns,sigma68_span_ns
curvature_energy_bin,1d_cnn,3,smooth,4.9781727930950534,curved,7.490635217205382,2.5124624241103284
curvature_energy_bin,derivative_gate_transformer_new,3,smooth,4.175781088638087,curved,5.98794532786651,1.812164239228423
curvature_energy_bin,compact_waveform_transformer,3,smooth,4.849098881034321,curved,6.157380248461889,1.3082813674275684
curvature_energy_bin,ridge,3,smooth,3.854482427116701,curved,4.4523225422875115,0.5978401151708104
curvature_energy_bin,mlp,3,smooth,4.154626743019193,curved,4.639678110896643,0.48505136787744974
curvature_energy_bin,gradient_boosted_trees,3,smooth,3.6256091652699927,curved,3.981767461356946,0.3561582960869534
curvature_energy_bin,traditional_cfd_template_derivative,3,moderate,0.8513047853683896,curved,0.9541354690150063,0.10283068364661674
derivative_onset_bin,1d_cnn,3,nominal,5.043780190739721,slow,7.733273155754326,2.6894929650146056
derivative_onset_bin,compact_waveform_transformer,3,nominal,5.5019280068735394,slow,6.83286226848039,1.330934261606851
derivative_onset_bin,derivative_gate_transformer_new,3,nominal,4.377957698692094,slow,5.465427980012569,1.087470281320475
derivative_onset_bin,gradient_boosted_trees,3,sharp,3.468853257805096,slow,4.411557143059799,0.9427038852547027
derivative_onset_bin,ridge,3,nominal,3.8846177814590126,slow,4.564562545945549,0.6799447644865362
derivative_onset_bin,mlp,3,nominal,4.098408523798902,slow,4.6764425797445135,0.5780340559456114
derivative_onset_bin,traditional_cfd_template_derivative,3,nominal,0.8171395976419766,slow,0.9246379027965077,0.10749830515453107
energy_bin,1d_cnn,4,q3,4.598836141224632,q4_high,7.043356864264068,2.4445207230394352
energy_bin,derivative_gate_transformer_new,4,q2,4.1314418323943265,q4_high,5.784349249048047,1.6529074166537203
energy_bin,compact_waveform_transformer,4,q2,5.137379417386176,q3,6.239736357835002,1.1023569404488258
energy_bin,ridge,4,q2,3.9770065786785755,q4_high,4.315507792132901,0.33850121345432527
energy_bin,gradient_boosted_trees,4,q2,3.607384655199224,q4_high,3.9197238337861653,0.3123391785869414
