method,run_family,n,bias_ns,sigma68_ns,rms_ns,tail_fraction_abs_gt_5ns,tail_fraction_abs_gt_10ns
traditional_cfd_template_derivative,sample_i_analysis,1350,-0.07668365879175187,0.950568512769435,0.92521333698468,0.0,0.0
gradient_boosted_trees,sample_i_analysis,1350,0.1940481663641855,4.163191780193673,6.5784418022343605,0.24,0.14148148148148149
mlp,sample_i_analysis,1350,-0.21790226268608845,5.504558856935726,6.654554401073366,0.30444444444444446,0.1474074074074074
ridge,sample_i_analysis,1350,-0.26376239076734054,6.201649388913285,7.242701025513101,0.35777777777777775,0.1474074074074074
derivative_gate_transformer_new,sample_i_analysis,1350,-2.3999332251871346,7.123099944838389,8.034849125052062,0.43555555555555553,0.1962962962962963
compact_waveform_transformer,sample_i_analysis,1350,-0.00387953755372465,7.483662934894221,7.967470535780463,0.41703703703703704,0.19925925925925925
1d_cnn,sample_i_analysis,1350,-2.2175126482528,7.88235453477214,9.380286622554603,0.4725925925925926,0.21259259259259258
traditional_cfd_template_derivative,sample_i_calib,657,0.05947382088243103,0.5295560153156937,0.6851790186096959,0.0,0.0
gradient_boosted_trees,sample_i_calib,657,2.51838351698305,2.478455517254295,2.755752775800999,0.1750380517503805,0.015220700152207
mlp,sample_i_calib,657,2.6936922533442,3.8914495161619125,3.9135146655430098,0.3165905631659056,0.0289193302891933
ridge,sample_i_calib,657,2.22603286420306,4.692902391114494,4.647448610382946,0.3150684931506849,0.0441400304414003
derivative_gate_transformer_new,sample_i_calib,657,0.2176162216989752,5.570084149948997,5.664740080640765,0.3759512937595129,0.0410958904109589
compact_waveform_transformer,sample_i_calib,657,2.435525381704366,5.939063279923582,6.094823961733597,0.4337899543378995,0.1598173515981735
1d_cnn,sample_i_calib,657,1.0360050305692263,6.754894302944962,7.532949877566524,0.4383561643835616,0.1643835616438356
traditional_cfd_template_derivative,sample_ii_analysis,2739,0.5754483593817579,0.9602719441717857,0.9342602332228014,0.0,0.0
gradient_boosted_trees,sample_ii_analysis,2739,-1.517961158263731,3.452709687009227,3.5626725374539343,0.16210295728368018,0.004016064257028112
ridge,sample_ii_analysis,2739,-0.9452728103294632,3.685496409440528,3.90580053467568,0.19313618108798833,0.013143483023001095
mlp,sample_ii_analysis,2739,-1.5260589068609978,3.9405670217447453,4.079018121977121,0.2194231471339905,0.014238773274917854
derivative_gate_transformer_new,sample_ii_analysis,2739,-2.918872124644217,4.2185161448469035,4.777558819466564,0.3577948156261409,0.060240963855421686
1d_cnn,sample_ii_analysis,2739,-2.254014672136888,5.34598460898174,6.686524526602774,0.384446878422782,0.12376779846659365
compact_waveform_transformer,sample_ii_analysis,2739,-0.2145861832412432,5.828855389320694,5.840536670543845,0.39065352318364366,0.07301935012778386
traditional_cfd_template_derivative,sample_ii_calib,720,0.6540228832777563,0.3294806587664272,0.5100198132051396,0.0,0.0
ridge,sample_ii_calib,720,-1.6629189634216885,3.6388801218824884,3.5565763325126083,0.18472222222222223,0.001388888888888889
derivative_gate_transformer_new,sample_ii_calib,720,-3.070556031077417,3.738519630757241,4.254183429638684,0.38333333333333336,0.019444444444444445
gradient_boosted_trees,sample_ii_calib,720,-1.5199605428193317,3.8170490948072553,3.6288541320974907,0.18472222222222223,0.004166666666666667
1d_cnn,sample_ii_calib,720,-2.713768821470043,4.426224442284266,5.881271346290788,0.38333333333333336,0.10555555555555556
mlp,sample_ii_calib,720,-2.157196818593687,4.426390113440663,4.087534498823443,0.2222222222222222,0.004166666666666667
compact_waveform_transformer,sample_ii_calib,720,-0.04700899657135155,5.362563568361061,5.650994765975004,0.35,0.05
