method,pedestal_state,n_events,median_abs_energy_residual,score_median,false_split_or_miss_rate,delta_shifted_minus_nominal_median_abs_energy_residual,delta_shifted_minus_nominal_error_rate
1d_cnn,nominal,283,0.07955140638516436,0.4956279397010803,0.21201413427561838,0.017467997978666147,0.047543209788767915
1d_cnn,shifted,497,0.09701940436383051,0.4485960006713867,0.2595573440643863,0.017467997978666147,0.047543209788767915
analytic_clipped_template_sideband_traditional,nominal,283,0.25964404664465063,0.3408513850030528,0.34275618374558303,0.7403559533553494,0.07575488265280733
analytic_clipped_template_sideband_traditional,shifted,497,1.0,0.0,0.41851106639839036,0.7403559533553494,0.07575488265280733
gradient_boosted_trees,nominal,283,0.06293849923185066,0.2899094549045979,0.21201413427561838,0.020238099839807455,0.059615644396413814
gradient_boosted_trees,shifted,497,0.08317659907165811,0.3710544939737183,0.2716297786720322,0.020238099839807455,0.059615644396413814
mlp,nominal,283,0.13475712133328696,0.3075122492830129,0.20848056537102475,0.02731299753130534,0.04705263382414629
mlp,shifted,497,0.1620701188645923,0.3481165734408759,0.25553319919517103,0.02731299753130534,0.04705263382414629
ridge,nominal,283,0.04998937607768421,0.4560061258296786,0.17667844522968199,0.01626502203149309,0.06678231935784318
ridge,shifted,497,0.0662543981091773,0.4644964188333288,0.24346076458752516,0.01626502203149309,0.06678231935784318
saturation_residual_fusion_new,nominal,283,0.05825282265176399,0.3029161013949994,0.19434628975265017,0.012795637439482858,0.059174837007913206
saturation_residual_fusion_new,shifted,497,0.07104846009124685,0.3785026575010943,0.2535211267605634,0.012795637439482858,0.059174837007913206
tiny_sequence_transformer,nominal,283,0.07632944900660292,0.3286548256874084,0.2826855123674912,0.01793480786849469,0.07747545342727746
tiny_sequence_transformer,shifted,497,0.09426425687509761,0.3099133670330047,0.36016096579476864,0.01793480786849469,0.07747545342727746
