method,saturation_bin,n_doublets,energy_fractional_bias,energy_fractional_sigma68,calibration_slope_proxy
1d_cnn,0,381,0.056659265485174304,0.11125378912035933,0.0
analytic_clipped_template_sideband_traditional,0,381,-0.4415899284696237,0.5600474155414719,0.0
gradient_boosted_trees,0,381,0.012817531044725838,0.07695907543370312,0.0
mlp,0,381,0.029044287736393566,0.18508745459937775,0.0
ridge,0,381,0.006854824785318169,0.07223160385273204,0.0
saturation_residual_fusion_new,0,381,0.015636016097136544,0.07649354291288701,0.0
tiny_sequence_transformer,0,381,-0.014905947052291375,0.10934627760187421,0.0
1d_cnn,1-2,4,0.036448250648088855,0.09870117384733594,0.13553901743858085
analytic_clipped_template_sideband_traditional,1-2,4,-0.45949761630910224,0.5406949316804106,-0.7335063775553858
gradient_boosted_trees,1-2,4,0.022252288479033214,0.07211425353635392,-0.043886184553921674
mlp,1-2,4,-0.024739231908040744,0.09072569883693951,0.02081013631422829
ridge,1-2,4,0.0050235781571213315,0.07896099114315325,0.016196214824532824
saturation_residual_fusion_new,1-2,4,0.014248274203737154,0.07840928609641826,-0.046886042753882015
tiny_sequence_transformer,1-2,4,-0.002356555333324649,0.09450816745336604,0.003924320319909966
1d_cnn,3-5,5,-0.01339908180226072,0.02001351109050705,-0.005832805631237395
analytic_clipped_template_sideband_traditional,3-5,5,-0.04951381310104398,0.247505494185791,0.2234530661295886
gradient_boosted_trees,3-5,5,-0.03872159778825615,0.038065775574646146,0.0223199777529605
mlp,3-5,5,-0.07355878052032311,0.04670916779251709,0.0573169294087208
ridge,3-5,5,-0.047936123536958045,0.01395867753659042,-0.002859581099038872
saturation_residual_fusion_new,3-5,5,-0.0110315673789265,0.012186360966111351,0.003736539731432601
tiny_sequence_transformer,3-5,5,-0.10048774230474569,0.054838122681437174,-0.03273608992848508
