method,slice_axis,slice,n,cluster_entropy,reconstruction_mse_median,timing_abs_error_median_ns,energy_proxy_area_median,pid_inner_high_charge_fraction
1d_cnn,energy_slice_s66a,high_energy,1398,0.7106863433512942,0.7082685053910005,3.6328736719984933,40552.0,0.04864091559370529
compact_waveform_transformer,energy_slice_s66a,high_energy,1398,1.485762682879216,0.35786521523825954,4.160368797072246,40552.0,0.04864091559370529
gradient_boosted_trees,energy_slice_s66a,high_energy,1398,1.3193830510240896,1178619.4291257686,2.2805595482350167,40552.0,0.04864091559370529
mlp,energy_slice_s66a,high_energy,1398,1.3173846360853938,1186125.9758210923,2.8975229836813994,40552.0,0.04864091559370529
ridge,energy_slice_s66a,high_energy,1398,1.32264496870073,1171130.3856621915,2.478265208875823,40552.0,0.04864091559370529
shape_time_gate_transformer_new,energy_slice_s66a,high_energy,1398,1.4834347915896402,0.760555983549436,3.298132198031312,40552.0,0.04864091559370529
traditional_median_template_cfd_timewalk_shape,energy_slice_s66a,high_energy,1398,0.7640894368571685,4.18033711014059,0.8153180189024968,40552.0,0.04864091559370529
1d_cnn,energy_slice_s66a,low_energy,1670,1.4955027331951538,0.13479169794457058,4.104447861589512,10721.5,0.0
compact_waveform_transformer,energy_slice_s66a,low_energy,1670,1.8588754201894613,0.2710244154917433,4.463541865442417,10721.5,0.0
gradient_boosted_trees,energy_slice_s66a,low_energy,1670,0.9462551036831728,412220.9199020982,2.505549678258017,10721.5,0.0
mlp,energy_slice_s66a,low_energy,1670,0.9498026078524291,412999.8619216546,2.7851161035949445,10721.5,0.0
ridge,energy_slice_s66a,low_energy,1670,0.9366470672281604,430248.16733681504,2.601158076639548,10721.5,0.0
shape_time_gate_transformer_new,energy_slice_s66a,low_energy,1670,1.8585529621553656,0.19309299410558955,4.29026209201215,10721.5,0.0
traditional_median_template_cfd_timewalk_shape,energy_slice_s66a,low_energy,1670,1.4827886940017492,4.5142794369058326,0.7647140380927913,10721.5,0.0
1d_cnn,energy_slice_s66a,mid_energy,1858,0.8814194275594364,0.207874599402335,2.9007614876724714,23797.5,0.0
compact_waveform_transformer,energy_slice_s66a,mid_energy,1858,1.5295906894460387,0.222916462964694,4.868421424087688,23797.5,0.0
gradient_boosted_trees,energy_slice_s66a,mid_energy,1858,0.8832785498212229,535757.3355229003,2.289155224943388,23797.5,0.0
mlp,energy_slice_s66a,mid_energy,1858,0.8944285659522326,540512.4959206624,2.818356390829548,23797.5,0.0
ridge,energy_slice_s66a,mid_energy,1858,0.8709590988174538,546788.3506330524,2.516198674714023,23797.5,0.0
shape_time_gate_transformer_new,energy_slice_s66a,mid_energy,1858,1.528028541994167,0.2700236725973042,3.477104015292163,23797.5,0.0
traditional_median_template_cfd_timewalk_shape,energy_slice_s66a,mid_energy,1858,0.8850942441932579,4.51406207084281,0.6830845034371578,23797.5,0.0
1d_cnn,late_tail_morphology,compact,2928,0.5327486371260307,0.10180042584130419,3.622099691606852,21227.5,0.01878415300546448
