method,heldout_run,detection_ap,detection_auc,time_bias_ns,time_sigma68_ns,late_tail_rate_abs_gt_15ns,pileup_miss_rate,false_split_rate,energy_fractional_bias,energy_fractional_sigma68,n_events,n_positive
1d_cnn,58,0.8729102685800372,0.8689307851239669,-1.3397590611560517,10.768384444391074,0.19642857142857142,0.36363636363636365,0.09090909090909091,-0.036317234862739675,0.076936930638675,176,88
1d_cnn,60,0.675635491565903,0.7085485537190082,-1.2616184646576833,10.99084085749777,0.1875,0.36363636363636365,0.26136363636363635,-0.054081189322571374,0.056274711508063284,176,88
1d_cnn,62,0.7307904173568711,0.7386363636363636,-3.3458217033317883,11.478813723811959,0.19318181818181818,0.5,0.19318181818181818,-0.034217083078757815,0.06356080569579355,176,88
1d_cnn,64,0.8231321397146139,0.8265754132231404,-2.6604479219187915,14.641228618334349,0.2708333333333333,0.45454545454545453,0.09090909090909091,-0.03078062005309711,0.095165190403529,176,88
1d_cnn,65,0.8594731007284593,0.849819214876033,-1.1610188110761444,9.081470656337375,0.17,0.4318181818181818,0.06818181818181818,-0.05046668064699116,0.0764159881947757,176,88
analytic_clipped_template_sideband_traditional,58,0.6977349660487767,0.6214488636363636,1.404732373877562,8.133711773775508,0.1282051282051282,0.5568181818181818,0.2840909090909091,0.06118304532829994,0.1141265650369359,176,88
analytic_clipped_template_sideband_traditional,60,0.6880101255032599,0.6503744834710743,1.1608352604039451,10.466864635257044,0.2125,0.5454545454545454,0.25,0.08247146411725573,0.11186546010476449,176,88
analytic_clipped_template_sideband_traditional,62,0.6765977874144866,0.5951704545454546,3.8605948940092816,9.706937252126128,0.12121212121212122,0.625,0.17045454545454544,0.0916622215164213,0.12125922276592126,176,88
analytic_clipped_template_sideband_traditional,64,0.6699553970181701,0.6149276859504131,0.14355917181310573,8.088322436698517,0.125,0.5454545454545454,0.20454545454545456,0.06308171605836035,0.10073239680696182,176,88
analytic_clipped_template_sideband_traditional,65,0.7044071724506975,0.6665805785123966,-0.48331547939792774,7.632423601849544,0.10256410256410256,0.5568181818181818,0.125,0.06356021306529708,0.07170428964413145,176,88
