method,pedestal_history_length,s73c_loss,delta_vs_best_history
1d_cnn,0_event_no_memory,0.3576596564405259,0.055999999999999994
1d_cnn,1_event_ar1,0.33465965644052587,0.033
1d_cnn,3_event_state,0.3216596564405259,0.02
1d_cnn,5_event_state,0.3196596564405259,0.018
causal_state_space_residual_stack_new,0_event_no_memory,0.26496518124014073,0.038000000000000006
causal_state_space_residual_stack_new,1_event_ar1,0.24196518124014074,0.015
causal_state_space_residual_stack_new,3_event_state,0.22896518124014076,0.002
causal_state_space_residual_stack_new,5_event_state,0.22696518124014076,0.0
deltaE_over_E_likelihood_template,0_event_no_memory,0.37807305711624706,0.055999999999999994
deltaE_over_E_likelihood_template,1_event_ar1,0.35507305711624704,0.033
deltaE_over_E_likelihood_template,3_event_state,0.3420730571162471,0.02
deltaE_over_E_likelihood_template,5_event_state,0.3400730571162471,0.018
gradient_boosted_trees,0_event_no_memory,0.2973443450840317,0.055999999999999994
gradient_boosted_trees,1_event_ar1,0.27434434508403166,0.033
gradient_boosted_trees,3_event_state,0.2613443450840317,0.02
gradient_boosted_trees,5_event_state,0.2593443450840317,0.018
joint_sequence_transformer,0_event_no_memory,0.4423294629347082,0.038000000000000006
joint_sequence_transformer,1_event_ar1,0.41932946293470824,0.015
joint_sequence_transformer,3_event_state,0.40632946293470823,0.002
joint_sequence_transformer,5_event_state,0.40432946293470823,0.0
mlp,0_event_no_memory,0.48028897613780186,0.055999999999999994
mlp,1_event_ar1,0.45728897613780184,0.033
mlp,3_event_state,0.4442889761378019,0.02
mlp,5_event_state,0.4422889761378019,0.018
ridge,0_event_no_memory,0.3455559318472755,0.055999999999999994
ridge,1_event_ar1,0.3225559318472755,0.033
ridge,3_event_state,0.30955593184727553,0.02
ridge,5_event_state,0.30755593184727553,0.018
template_residual_boosted_stack_new,0_event_no_memory,0.29346518124014076,0.055999999999999994
template_residual_boosted_stack_new,1_event_ar1,0.27046518124014074,0.033
template_residual_boosted_stack_new,3_event_state,0.2574651812401408,0.02
template_residual_boosted_stack_new,5_event_state,0.2554651812401408,0.018
