run,group,stave,selected_pulses
58,sample_ii_analysis,B2,15791
58,sample_ii_analysis,B4,591
58,sample_ii_analysis,B6,285
58,sample_ii_analysis,B8,114
59,sample_ii_analysis,B2,13565
59,sample_ii_analysis,B4,4527
59,sample_ii_analysis,B6,2366
59,sample_ii_analysis,B8,919
60,sample_ii_analysis,B2,9873
60,sample_ii_analysis,B4,4040
60,sample_ii_analysis,B6,2189
60,sample_ii_analysis,B8,927
61,sample_ii_analysis,B2,11015
61,sample_ii_analysis,B4,4401
61,sample_ii_analysis,B6,2490
61,sample_ii_analysis,B8,1059
62,sample_ii_analysis,B2,11635
62,sample_ii_analysis,B4,4183
62,sample_ii_analysis,B6,2342
62,sample_ii_analysis,B8,929
63,sample_ii_analysis,B2,14566
63,sample_ii_analysis,B4,2645
63,sample_ii_analysis,B6,1153
63,sample_ii_analysis,B8,453
65,sample_ii_analysis,B2,11768
65,sample_ii_analysis,B4,842
65,sample_ii_analysis,B6,323
65,sample_ii_analysis,B8,105
