sample,pair,has_b2,stage,amp_bin,amp_lo,amp_hi,n,amp_median,sigma68_ns,ci_low_ns,ci_high_ns,run_spread_std_ns,n_runs_used,sigma68_per_stave_sqrt2_ns
sample_I,B2-B4,True,raw_cfd20,0,1000.0,1250.0,361,1122.0,38.145799342995545,25.395759519493705,52.42759143152777,23.437477507382077,8,26.973153389213497
sample_I,B2-B4,True,raw_cfd20,1,1250.0,1550.0,348,1394.0,44.999186387949855,30.708548372847172,51.89866765056893,20.147323540282617,9,31.819229842796723
sample_I,B2-B4,True,raw_cfd20,2,1550.0,1900.0,415,1734.5,39.06444014212738,25.46903967029374,43.18332998758231,19.026791477418776,10,27.622730527754246
sample_I,B2-B4,True,raw_cfd20,3,1900.0,2300.0,580,2112.0,38.53161359278889,31.38600614180157,43.43753769215366,13.955718991407593,10,27.24596526152077
sample_I,B2-B4,True,raw_cfd20,4,2300.0,2800.0,945,2577.5,35.05717971340148,29.369554503673694,38.65972733805946,15.756972210290286,11,24.789169504621654
sample_I,B2-B4,True,raw_cfd20,5,2800.0,3400.0,1537,3082.0,37.18559363796729,31.665240728613615,38.941255236034586,14.609308749631307,11,26.294185423854007
sample_I,B2-B4,True,raw_cfd20,6,3400.0,4200.0,1098,3703.0,34.12860530266705,27.852015326782325,36.9962853487211,15.680802050022812,11,24.13256824195503
sample_I,B2-B4,True,raw_cfd20,7,4200.0,5200.0,394,4554.0,44.32256878376939,35.08041937709893,45.61811052448521,13.838746245493073,10,31.340788946610523
sample_I,B2-B4,True,raw_cfd20,8,5200.0,6500.0,134,5614.0,40.41413719273932,23.922465554270527,38.68042162024499,17.467990213488292,3,28.57711046478943
sample_I,B2-B4,True,raw_cfd20,9,6500.0,8000.0,24,6963.0,,,,,0,
sample_I,B2-B4,True,raw_cfd20,10,8000.0,,1,8005.0,,,,,0,
sample_I,B2-B4,True,timewalk_corrected,0,1000.0,1250.0,361,1122.0,44.457032562472264,33.16510462507182,56.025311198808055,19.398553267168122,8,31.43586919635529
sample_I,B2-B4,True,timewalk_corrected,1,1250.0,1550.0,348,1394.0,46.63862922479061,34.04740664713736,55.14583349469956,18.932164981676827,9,32.978490990094535
sample_I,B2-B4,True,timewalk_corrected,2,1550.0,1900.0,415,1734.5,40.82207959029395,30.8673643747893,43.30456860527969,15.419130201144547,10,28.865569300433812
sample_I,B2-B4,True,timewalk_corrected,3,1900.0,2300.0,580,2112.0,38.552542766300995,31.736310523836746,43.02541765993273,11.749633497885357,10,27.260764422035813
sample_I,B2-B4,True,timewalk_corrected,4,2300.0,2800.0,945,2577.5,33.47511496561417,29.19216114788966,36.79817133409967,14.881318660552834,11,23.670480793185057
